Week,Date,Topic,Lecture Resources,Readings,HW Assigned,HW Due
Week 1,10-Sep,Course Introduction,[Lect-01-Intro](../Notes/lect-01-intro.html) [Video](https://vimeo.com/359114175/8b5828601d),No Reading Prior to Class,Install [Rstudio](https://www.rstudio.com/products/rstudio/download3/) and [Go through Introduction to R](https://php-1511-2511.github.io/Introduction-to-R/),
,12-Sep,Basic Probability,[Lect-02-Probability](../Notes/lect-02-probability.html) [Video](https://vimeo.com/359605430/28765378db),CHEST: Appendix A; [SPEEGLE Ch. 2](https://bookdown.org/speegled/foundations-of-statistics/prob.html);  [RAFA Ch. 14](https://rafalab.github.io/dsbook/probability.html),[Datacamp Assignment](../datacamp),
,,,,,,
Week 3,17-Sep,Basic Probability,[Lect-03-Probability-Part 2](../Notes/lect-03-probability-part2.html) [Video](https://vimeo.com/360947749/ced3773175),CHEST: Appendix A; [SPEEGLE Ch. 2](https://bookdown.org/speegled/foundations-of-statistics/prob.html);  [RAFA Ch. 14](https://rafalab.github.io/dsbook/probability.html),[Datacamp Assignment](../datacamp),
,19-Sep,Random Variables,[Lect-04-Random-Variables](../Notes/lect-04-random-variables.html) [Video](https://vimeo.com/361201132/918618680c),CHEST: Appendix B; [SPEEGLE Ch. 3](https://bookdown.org/speegled/foundations-of-statistics/random-variables.html); [RAFA Ch. 15.1-15.6](https://rafalab.github.io/dsbook/random-variables.html),[Datacamp Assignment](../datacamp),
,,,,,,
Week 4,24-Sep,Random Variables,[Lect-05-random-variables-part2](../Notes/lect-05-random-variables-part2.html) [Video](https://vimeo.com/362123037/8c070bfaed),CHEST: Appendix B; [SPEEGLE Ch. 3](https://bookdown.org/speegled/foundations-of-statistics/random-variables.html); [RAFA Ch. 15.1-15.6](https://rafalab.github.io/dsbook/random-variables.html),[Datacamp Assignment](../datacamp),
,25-Sep,,,,[HW 1: Random Variables](../homework/pages/hw1)  [HW1 Solutions](../homework/hw1-sol.html) ,
,26-Sep,Simulations with Random Variables,[Lect-06-random-variables-simulations](../Notes/lect-06-random-variables-simulations.html) [Video](https://vimeo.com/362639646/039f38861b),[SPEEGLE Ch.  4.1-4.4](https://bookdown.org/speegled/foundations-of-statistics/simulation-of-random-variables.html) ,,[Datacamp Work Due](https://www.datacamp.com/courses/importing-cleaning-data-in-r-case-studies)
,,Lab 1:,[Lab 1 - html](../labs/lab1.html) [Lab 1 - rmd](../labs/lab1.Rmd) [Video](https://vimeo.com/362639601/d210ab3ece),,,
Week 5,1-Oct,Manipulating Data with R,[Lect-07-data-manipulation](../Notes/lect-07-data-manipulation.html) [Video](https://vimeo.com/364345127/4efa76cd92),[R4DS Ch. 4-5](https://r4ds.had.co.nz/workflow-basics.html) ;[SPEEGLE Ch. 5](https://bookdown.org/speegled/foundations-of-statistics/data-manipulation.html),,
,3-Oct,Summarizing Data in R,[Lect-08-data-summary](../Notes/lect-08-data-summary.html) [Video](https://vimeo.com/364345233/ff47d73d4c),CHEST Ch. 2; [SPEEGLE Ch. 6](https://bookdown.org/speegled/foundations-of-statistics/ggplot-and-descriptive-statistics.html),[HW 2: Working with Data in R](../homework/pages/hw2),
,4-Oct,,,,,[HW 1 DUE](../homework/pages/hw1) [HW1 Solutions](../homework/hw1-sol.html) 
,,Lab 2:, [Lab 2 - rmd](../labs/lab2.Rmd) [Lab 2- Solutions](../labs.lab2-sol.html) [Video](https://vimeo.com/user52646642/review/365407058/0c86d41c24),,,
Week 6,8-Oct,Data Visualization,[Lect-09-data-visualization](../Notes/lect-09-data-visualization.html) [Video](https://vimeo.com/365077519/11291d9244),CHEST Ch. 2; [SPEEGLE Ch. 6](https://bookdown.org/speegled/foundations-of-statistics/ggplot-and-descriptive-statistics.html); ,,
,10-Oct,Exploratory Data Analysis,[Lect-10-11-exploratory-data-analysis](../Notes/lect-10-11-exploratory-data-analysis) [Video](https://vimeo.com/366483044/16d76eb6ab),CHEST Ch. 2; [SPEEGLE Ch. 6](https://bookdown.org/speegled/foundations-of-statistics/ggplot-and-descriptive-statistics.html); ,,
,,,,,,
Week 7,15-Oct,Exploratory Data Analysis Part 2,[Lect-10-11-exploratory-data-analysis](../Notes/lect-10-11-exploratory-data-analysis) [Video](https://vimeo.com/366539994/094b42dc5a),,,
,16-Oct,,,,,[HW 2 DUE](../homework/pages/hw2) [HW2 Solutions](../homework/hw2-sol.html)
,17-Oct,Introduction to Hypothesis Testing,[Lect-12-intro-to-hyp-testing](../Notes/lect-12-intro-to-hyp-testing.html) [Video](https://vimeo.com/367904220/e82b749f47),CHEST Ch. 3,,
,,,,,,
Week 8,22-Oct,Introduction to Hypothesis Testing,[Lect-13-case-study](../Notes/lect-13-case-study.html) [Video](https://vimeo.com/368093833/d163a14ccd),CHEST Ch. 3,,
,24-Oct,***Exam 1***,[PHP 2510 Exam PDF](../exams/php2510_midterm_2019.pdf) [PHP 2510 Exam Rmd](../exams/php2510_midterm_2019.Rmd) [PHP 1510 Exam PDF](../exams/php1510_midterm_2019.pdf) [PHP 1510 Exam PDF](../exams/php1510_midterm_2019.Rmd),,,
,,,,,,
Week 9,29-Oct,Sampling Distributions,[lect-14-sampling-distributions](../Notes/lect-14-sampling-distributions.html) [Video](https://vimeo.com/369653420/8250328a71),CHEST Ch. 4;  [SPEEGLE Ch.  4.5](https://bookdown.org/speegled/foundations-of-statistics/simulation-of-random-variables.html); [RAFA Ch. 15.6-15.9](https://rafalab.github.io/dsbook/random-variables.html),,
,31-Oct,Introduction to Confidence Intervals,[lect-15-confidence-intervals](../Notes/lect-15-confidence-intervals.html) [Video](https://vimeo.com/370369472/d079b3fe4d),CHEST Ch. 5; [Modern Ch. 9](https://moderndive.com/9-confidence-intervals.html),,
